Name,Description,Source Link,portalSourceName
Grab taxi integration,"Send ride receipts automatically from Grab to Rydoo
",https://portal.productboard.com/rydoo/1-rydoo/c/168-grab-taxi-integration,rydoo
In-app tips and tricks,"Guided in-app onboarding to support end users during their first steps in RydooHighlight new features
",https://portal.productboard.com/rydoo/1-rydoo/c/181-in-app-tips-and-tricks,rydoo
Mobile - Linked accounts,"Currently  it is only possible to scan receipts for your linked accounts with our mobile application. This idea is to make it possible to scan a receipt, fill in the details and save or submit the expense for a linked account on our mobile app. 
",https://portal.productboard.com/rydoo/1-rydoo/c/165-mobile-linked-accounts,rydoo
Microsoft D365 integration,"A generic integration with Dynamics 365
",https://portal.productboard.com/rydoo/1-rydoo/c/173-microsoft-d365-integration,rydoo
