Name,Description,Source Link,portalSourceName
CRM 3.0,"Timeline: Q3 2023Overview: Email Campaign WorkflowsUX UpdatesMultiple SourcesImprove CRM ExportPriority: High
",https://portal.productboard.com/managebac/3-openapply-roadmap/c/145-crm-3-0,managebac
Performance Updates 3,"Timeline: 2H 2023Overview: Improve APIPriority: High
",https://portal.productboard.com/managebac/3-openapply-roadmap/c/149-performance-updates-3,managebac
CRM 2.2,"Timeline: 1H 2023Overview: Open/Click Rates Applicant GranularityOpen/Click Rates AnalyticsPriority: High
",https://portal.productboard.com/managebac/3-openapply-roadmap/c/144-crm-2-2,managebac
Alumni Events,"Timeline: Q3 2023Overview: Specific alumni type events available within our Advancement modulePriority: Medium
",https://portal.productboard.com/managebac/3-openapply-roadmap/c/141-alumni-events,managebac
QR Code for Events,"Timeline: 1H 2023Overview: Parents can easily register & sign in for events with a mobile devicePriority: Medium
",https://portal.productboard.com/managebac/3-openapply-roadmap/c/150-qr-code-for-events,managebac
Admin Mobile App,"Timeline: 2023 2HOverview: Andriod and iOS mobile app for an OpenApply 'lite' experiencePriority: High
",https://portal.productboard.com/managebac/3-openapply-roadmap/c/138-admin-mobile-app,managebac
Performance Updates 2,"Timeline: Q2 2023 Overview: Improve Page SpeedPriority: High
",https://portal.productboard.com/managebac/3-openapply-roadmap/c/148-performance-updates-2,managebac
