Name,Description,Source Link,portalSourceName
Browse and restore policy versions,"Browse a version history of your policies in order to have an audit log of changes that have been made over time. Restore older version of you want to revert changes that were made by you or members of your organization. Would this be useful for you? How would you use version history for policies?
",https://portal.productboard.com/termly/3-roadmap/c/69-browse-and-restore-policy-versions,termly
EULA Policy (iOS & Android),"An End User License Agreement (EULA) outlines the rules and restrictions for software use. Your users must accept your EULA before downloading and using your app.Easily create a EULA from your Termly account and share it with your users and in app stores when you publish your app.
",https://portal.productboard.com/termly/3-roadmap/c/85-eula-policy-ios-android,termly
Zapier integration,"Automate tasks in your Termly account and integrate with thousands of other tools.Example use cases:Enroll a user in a Hubspot workflow when a DSAR is submittedRecord a data point in a Google Sheet when a consent interaction occursCreate a DSAR record in Termly when it is tagged in Intercom support
",https://portal.productboard.com/termly/3-roadmap/c/97-zapier-integration,termly
Termly App on the Shopify Store,"Easily install and manage your compliance within your Shopify site by using a dedicated Termly Shopify app.Which Shopify features would be useful for you to have supported?
",https://portal.productboard.com/termly/3-roadmap/c/91-termly-app-on-the-shopify-store,termly
Site scanner update,"A new compliance scanner can be used by anyone with or without a Termly account to easily scan any page on the web and return compliance details about it.
",https://portal.productboard.com/termly/3-roadmap/c/96-site-scanner-update,termly
Floating preference center button,"Easily add a floating icon on your site that gives your site visitors quick access to their consent management preferences.
",https://portal.productboard.com/termly/3-roadmap/c/75-floating-preference-center-button,termly
More consent banner template options,"Make more style customizations to your consent banner such as:Squared edges/buttonsMore variation in the size of the banner overallIcons on buttonsetc.Which customizations would you like to see? 
",https://portal.productboard.com/termly/3-roadmap/c/73-more-consent-banner-template-options,termly
Preview regional consent settings in the dashboard,"Preview how your consent banner will look to users visiting from different regions  all without leaving your Termly dashboard.
",https://portal.productboard.com/termly/3-roadmap/c/102-preview-regional-consent-settings-in-the-dashboard,termly
