Name,Description,Source Link,portalSourceName
Make recently viewed it's own page,"This would create a page where shoppers could see all their recently view products on a page  not just the 4 most recent that they currently see.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/25-make-recently-viewed-it-s-own-page,pxuthemes
Increase options  esp. background image,"This would make the password page more customizable
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/33-increase-options-esp-background-image,pxuthemes
Add option for sticky/fixed header on mobile,"This would allow the header to be sticky on mobile and on desktop if enabled. 
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/78-add-option-for-sticky-fixed-header-on-mobile,pxuthemes
Free shipping available tags,"Make it so merchants can choose a certain tag to apply to their products that allows them to denote products that are eligible for free shipping.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/89-free-shipping-available-tags,pxuthemes
Add Font size control options,"This would add options to control the size of the fonts used on the theme globally without having to write any CSS.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/15-add-font-size-control-options,pxuthemes
Add option to have sidebar menus collapsed by default,"Sidebar menus can get long  this option would allow merchants to choose to have them collapsed to start and allow shoppers to expand them when they want.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/57-add-option-to-have-sidebar-menus-collapsed-by-default,pxuthemes
Add option to have social media icons in header,"Allow merchants to have social media links in the header
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/85-add-option-to-have-social-media-icons-in-header,pxuthemes
Add optional phone number field to contact form,"Allow shoppers to contact you via phone if you'd like them to be able to do so.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/81-add-optional-phone-number-field-to-contact-form,pxuthemes
Add Qty selection display options,"This would allow merchants to choose if they have an input for quantity selection or use a dropdown.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/32-add-qty-selection-display-options,pxuthemes
Add option to remove text on collection list section of homepage,"This feature would allow merchants to choose if they want to show text or not on the collection list section on the homepage.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/53-add-option-to-remove-text-on-collection-list-section-of-homepage,pxuthemes
Swatches,"Add the ability to display color variants as swatches throughout the theme. 
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/2-swatches,pxuthemes
Add option for image in Promo block,"This option would allow merchants to choose an image to add to the promotion block on the collection page.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/39-add-option-for-image-in-promo-block,pxuthemes
