Name,Description,Source Link,portalSourceName
Auto Framing (Face tracking),"Option to automatically center the camera feed to the recognized face region.
",https://portal.productboard.com/xsplit/2-xsplit-vcam/c/42-auto-framing-face-tracking,xsplit
Shortcut to change background,"Allow to add a shortcut to change your background to original  remove or one of the replacement backgrounds.
",https://portal.productboard.com/xsplit/2-xsplit-vcam/c/40-shortcut-to-change-background,xsplit
Chroma Key option,"Option to select Chroma Key for background removal.
",https://portal.productboard.com/xsplit/2-xsplit-vcam/c/28-chroma-key-option,xsplit
Linux application,"Linux support for XSplit VCam
",https://portal.productboard.com/xsplit/2-xsplit-vcam/c/78-linux-application,xsplit
Camera zoom,"Option to zoom the camera feed.
",https://portal.productboard.com/xsplit/2-xsplit-vcam/c/32-camera-zoom,xsplit
Multiple output,"Allow to use the virtual camera in multiple applications at the same time.
",https://portal.productboard.com/xsplit/2-xsplit-vcam/c/38-multiple-output,xsplit
Watermark library,"Allow to add more than one custom watermark.
",https://portal.productboard.com/xsplit/2-xsplit-vcam/c/41-watermark-library,xsplit
Resizable window,"Option to resize and maximize XSplit VCam window.
",https://portal.productboard.com/xsplit/2-xsplit-vcam/c/64-resizable-window,xsplit
