Name,Description,Source Link,portalSourceName
Embed Integration,"Integration with Embed
",https://portal.productboard.com/clubspeed/1-clubspeed-feature-upvote/c/111-embed-integration,clubspeed
Capacity Management ,"Ability to view current and future occupancy for the day so you can manage capacity and guest flow. 
",https://portal.productboard.com/clubspeed/1-clubspeed-feature-upvote/c/108-capacity-management,clubspeed
Functionality for 2-Seater Karts,"Not sure what it would be exactly. Weather allowing both racers to share a kart number  or a merged account, or something else, but looking for someway to better function with the 2-Seater karts. Open for any suggestions to make work with what the software already has as well.Suggested by: Justin Baustert
",https://portal.productboard.com/clubspeed/1-clubspeed-feature-upvote/c/76-functionality-for-2-seater-karts,clubspeed
Discount System Overhaul,"Revamp the discount system in the POS to allow more granular control over the number of discounts used  the customers that can use them, the days or products they can be used on, total discount limits, etc.
",https://portal.productboard.com/clubspeed/1-clubspeed-feature-upvote/c/18-discount-system-overhaul,clubspeed
ClubDirector: Instructor Calendar,"Ability for instructors to set their availability and view their bookings in Club Director. 
",https://portal.productboard.com/clubspeed/1-clubspeed-feature-upvote/c/99-clubdirector-instructor-calendar,clubspeed
Amusement Connect Integration,"Amusement Connect is a Cashless card provider. This integration enables the following functionality for Amusement Connect cards: Allow customers to sell cards to guests through the Clubspeed POSAllow customers to view balances of cardsSpend money stored on Amusement Connect cards in Clubspeed POS
",https://portal.productboard.com/clubspeed/1-clubspeed-feature-upvote/c/110-amusement-connect-integration,clubspeed
Booking Manager,"Ability to create  view and easily manage all online bookings in Club Director.Search for bookingsReschedule Issue refundsModify bookings
",https://portal.productboard.com/clubspeed/1-clubspeed-feature-upvote/c/31-booking-manager,clubspeed
