Name,Description,Source Link,portalSourceName
Min and max durations for rules,"Allow setting min and/or max durations for advanced pricing rules to apply
",https://portal.productboard.com/booqable/1-booqable-feature-portal/c/114-min-and-max-durations-for-rules,booqable
Prevent double pickups,"Eliminates uncertainties about who currently has what by making sure your items cannot be marked as picked up more than once at a time. 
",https://portal.productboard.com/booqable/1-booqable-feature-portal/c/40-prevent-double-pickups,booqable
Prepare orders and inventory,"Prepare orders and inventory
",https://portal.productboard.com/booqable/1-booqable-feature-portal/c/116-prepare-orders-and-inventory,booqable
